sentences_author;label
frank, i'm typically in full alignment with your opinions, but not this time.;neutral
  i think professor krugman answered that question for us.;positive
""" <br/><br/>maureen has seen the greater truth behind the absurd notion that americans have the right tote guns everywhere and anywhere.";positive
" that said, i am with frank: a bit of real ""self-recrimination"" along with a bit of ""rage"" would be a refreshing coda to secretary clinton's career.";positive
another good article by edsall.;positive
 they aren't as stupid as dr. krugman and many other writers contend.;negative
"<br/><br/>ross, by the way, these sorts of gadfly columns (""implausible"" speculations) that you are currently writing, similar to the one about how the two coasts should share more power with the flyover heartland, are good reads but ultimately fairly silly.   i'll take disfunction and gridlock or whatever malaise that comes with democracy any time, as i am sure douthat would too, over any kind of autocratic power.";negative
  but cohen has one part of the analysis precisely backwards.;negative
"michelle, you done it again! i would only one line, ""what do you think of bernie sanders now?";neutral
i've been a fan of mr. egan's writing for many years but have to say, this piece was disappointing.;negative
this is the first time i have nothing snarky or negative to say about m. brooks' column.;negative
of course, maureen's picture of trump-ryan is accurate, and soon we can add mcconnell to the image.;positive
i'm repeatedly stunned at mr. blow's posts. <br/><br/>how about this, mr. blow.;negative
mr. brooks, you neglected to mention one tiny little detail about gerald ford.;negative
wow charles.;neutral
by seeing comey's behavior as hubris, i think that mr. leonhardt is giving james comey too much credit.;negative
"""<br/><br/>brooks says, "".";neutral
ms. dowd, in psychiatry we call such a person(djt) a sociopath with a mirror  and comb in his coat pocket.;neutral
you're a bad man,  frank.;negative
"the only thing more predictable than the democratic party getting ""excited about causes dear to the upper middle class,"" is douthat finding fault with the democrats actually standing for something resembling principles while the republicans hand the reins of education to the most grossly unqualified candidate for any public office.";neutral
<br/><br/>brooks, in my opinion, is a great writer and think.;positive
  mr. brooks is in an excellent position to explore this topic, but it would involve much more intellectual and spiritual growth than he is ready for, and put at risk a comfortable career in punditry.;neutral
"it would be interesting to see mr. stephens explore why america's elected officials are relatively ""skeptical"" about climate change, compared to leaders of other developed countries (with the possible exception of saudi arabia).";neutral
"krugman: ""if you’re waiting to find the modern version of howard baker, the republican senator who asked “what did the president know, and when did he know it?";neutral
nothing proves michelle’s major point more entertainingly than the visibility she gives to anastasia vashukevich’s claim of being the “missing link” between the russkies and trump in our 2016 elections.;negative
""" by thomas frank.";neutral
 i think ross has paul ryan pegged.;negative
a common narrative does not create unity david.;negative
charles, you are absolutely correct in your assessment of trump's so called presidency.;positive
 i hope bret cheers when that comes to his neighborhood.;neutral
